,species-name,dataset-tag,r_0,r_1,s_1,damping,R_0,T_c,V,G,d,r_0a,r_0b,r_1a,s_1a
19,Soay sheep (high D cohorts),No author,-0.29936725459587216,-0.8881803028122064,0.3994631504070363,0.554985635131653,0.24710000000000001,2.917037636584379,4.343177950424846,0.825790997269836,0.33306609246798174,-0.47924035962198824,-0.1372826795745326,-0.5525031715131277,2.9224308218484016
20,Soay sheep (low D cohorts),Coulson & Crawley 2004,0.19606270760137262,-0.4083186000152175,0.5208883300827447,0.5464123832630604,2.7347,4.925256883753246,8.538092846396008,0.153030724431726,0.6382609908664346,0.20425771982823349,0.27658280361866616,0.14347391397133652,1.049851220432504
21,Feral Horse,Garrott 1991,0.2559126256733616,-0.18123824718501613,0.3522770488770464,0.6458739792059685,8.063496318000002,9.438858273191066,22.183183838650315,0.38838443296037845,0.8472606691087581,0.22114403971309016,0.33607972529908803,0.24844089045508566,0.4926865312938562
22,Rhinoceros unicornis,Dinerstein & Price 1991,0.022074256749322386,-0.0866589203843806,0.20309553987765097,0.8969697176024781,1.53415494,19.07109321696021,62.975635944764264,0.2544388825785429,0.9445505612477082,0.022441277848468957,0.024104277424681176,0.021168413396924674,0.3172539245278023
23,Hemitragus jemlahicus,Caughley 1970,0.0926317107777505,-0.45109664279571493,0.4576879026705862,0.5805796060969954,1.813085,5.749554488620225,7.350778894888096,0.5209430275475065,0.7842695952058322,0.10349146450733414,0.11718476791138492,0.059573656688415806,1.0205157006391996
24,Godley (stationary),Caughley 1970,-0.009147750495125893,-0.5333176118513254,0.4393802543699195,0.5920466412204611,0.927374,5.368981662198853,5.8839824913165,0.71153350199103,0.7875112456898881,-0.01404332283649303,-0.013827190767604315,-0.04974570069224413,1.179280543115519
25,Ovis dalli,Simmons et al. 1984,0.002359272575351728,-0.45633530298066377,0.4171702176416431,0.6321082767386351,1.0162243000000002,5.762927534797188,7.820336107068386,0.6383529676856728,0.7735774215658718,0.0027926938886601595,0.0028032773792863322,-0.030469178522006958,1.0882107322561316
26,Connochaetes taurinus taurinus,Attwell 1982,-0.03195889573147508,-0.32794386507721407,0.3535424781220919,0.7437986077158727,0.77743,6.70470653306407,12.704680136855432,0.7327475328946103,0.7673190244186864,-0.03754999117331548,-0.03487819304992295,-0.05280575084909338,0.9704704178302828
27,Connochaetes taurinus albojubatus,Watson 1970,0.06687226201740343,-0.29252138528908594,0.26041671233759434,0.6980994922715603,1.5945,6.336895578551268,14.199991491447998,1.3814690760731876,0.7042504003422594,0.07362598952192921,0.08577312353298663,0.04218060611247787,0.9097312240212192
28,Lepus europaeus,Alsina & Brandani 1979,0.019219935378743613,-0.37850178033203447,0.404010989828588,0.671848966661862,0.2669348,1.1066552581379423,0.09527991404947117,2.5486057952588284,0.6429315230028994,-1.1934618621711797,-1.0708292171064093,-4.616773504893975,5.969334702905881
